"ScanDateTime","ScanDate","PrintIDName","Section","Page","ZoneNumber","Cyan","Magenta","Yellow","Black"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","8","0.66428","0.564411","0.540541","0.634066"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","8","0.492116","0.495966","0.544061","0.513028"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","1","0.477527","0.48114","0.512852","0.499216"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","1","0.544813","0.502677","0.530746","0.543853"
"2013-12-03 12:19:28","2012/12/09","Press 40 (Monday- Best Effort)","C","8","1","0.581796","0.566683","0.593346","0.597658"
"2013-12-03 12:19:28","2012/12/09","Press 40 (Monday- Best Effort)","C","8","2","0.578104","0.564898","0.589094","0.595796"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","2","0.552442","0.513748","0.536873","0.553727"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","2","0.490942","0.483307","0.509159","0.507763"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","3","0.487138","0.479892","0.511041","0.503516"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","3","0.559318","0.524758","0.541422","0.561633"
"2013-12-03 12:19:28","2012/12/09","Press 40 (Monday- Best Effort)","C","8","3","0.592128","0.579677","0.606832","0.609693"
"2013-12-03 12:19:28","2012/12/09","Press 40 (Monday- Best Effort)","C","8","4","0.588079","0.570075","0.60962","0.602946"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","4","0.55767","0.516837","0.537048","0.557468"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","4","0.473416","0.466804","0.501482","0.490051"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","5","0.510284","0.486242","0.528514","0.518467"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","5","0.56231","0.517269","0.543727","0.560146"
"2013-12-03 12:19:28","2012/12/09","Press 40 (Monday- Best Effort)","C","8","5","0.58442","0.569892","0.610627","0.600773"
"2013-12-03 12:19:28","2012/12/09","Press 40 (Monday- Best Effort)","C","8","6","0.579106","0.561298","0.594962","0.591843"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","6","0.562709","0.515808","0.545441","0.560302"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","6","0.516565","0.48904","0.526463","0.523206"
"2013-12-03 11:03:32","2012/12/09","Press 40 (Monday- Best Effort)","A","8","7","0.507588","0.486473","0.530733","0.51828"
"2013-12-03 12:19:07","2012/12/09","Press 40 (Monday- Best Effort)","B","8","7","0.558968","0.510289","0.539475","0.553703"
